sf__Id,sf__Error,External_Id__c,Site_ID_by_Customer__c,Name,Site_Name_by_Customer__c,Account__c,sitetracker__Site_Status__c
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",653600474,65040998sn002,遂宁船山建安安置小区-E5H,65040998sn002-遂宁船山建安安置小区-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009772,ZY2862,ZY2862,ZY2867-ZY2867,0010w000011s3IzAA2,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009773,ZY2867,ZY2867,ZY2867-ZY2867,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009772,ZY2862,ZY2862,ZY2867-ZY2867,0010w000011s3IzAA2,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009773,ZY2867,ZY2867,ZY2867-ZY2867,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009772,ZY2862,ZY2862,ZY2867-ZY2867,0010w000011s3IzAA2,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009773,ZY2867,ZY2867,ZY2867-ZY2867,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009772,ZY2862,ZY2862,ZY2867-ZY2867,0010w000011s3IzAA2,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009773,ZY2867,ZY2867,ZY2867-ZY2867,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009772,ZY2862,ZY2862,ZY2867-ZY2867,0010w000011s3IzAA2,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009773,ZY2867,ZY2867,ZY2867-ZY2867,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009772,ZY2862,ZY2862,ZY2867-ZY2867,0010w000011s3IzAA2,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",879009773,ZY2867,ZY2867,ZY2867-ZY2867,0010w000011s3IzAAI,Active,
